"Refs","Value","Footprint","Qty","DNP"
"SW4","SW_Push","","1",""
"SW5","SW_Push","","1",""
"SW6","SW_Push","","1",""
"SW7","SW_Push","","1",""
"SW8","SW_Push","","1",""
"SW9","SW_Push","","1",""
"SW10","SW_Push","","1",""
"SW11","SW_Push","","1",""
"SW12","SW_Push","","1",""
"SW13","SW_Push","","1",""
"SW14","SW_Push","","1",""
"SW15","SW_Push","","1",""
"SW16","SW_Push","","1",""
"U1","Teensy4.1","Teensy:Teensy41","1",""
